id,key,status,retry_count,created_at,published_at,publication_record_lag_ms
1103,event-80,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:20.567426,1902.1960
1104,event-81,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:20.570899,1905.6690
1105,event-82,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:20.575087,1909.8570
1106,event-83,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:20.578352,1913.1220
1107,event-84,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:20.581224,1915.9940
1108,event-85,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:20.583898,1918.6680
1109,event-86,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:20.595290,1930.0600
1110,event-87,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:20.605245,1940.0150
1111,event-88,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:20.612085,1946.8550
1112,event-89,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:20.617706,1952.4760
1113,event-90,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:20.620741,1955.5110
1114,event-91,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:20.624223,1958.9930
1115,event-92,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:20.626482,1961.2520
1116,event-93,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:20.629571,1964.3410
1117,event-94,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:20.631284,1966.0540
1118,event-95,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:20.633220,1967.9900
1119,event-96,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:20.635760,1970.5300
1120,event-97,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:20.637443,1972.2130
1121,event-98,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:20.640728,1975.4980
1122,event-99,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:20.643263,1978.0330
1123,event-100,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:20.647756,1982.5260
1124,event-101,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:23.805580,5140.3500
1125,event-102,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:23.809994,5144.7640
1126,event-103,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:23.813228,5147.9980
1127,event-104,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:23.815671,5150.4410
1128,event-105,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:23.817498,5152.2680
1129,event-106,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:23.819743,5154.5130
1130,event-107,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:23.821072,5155.8420
1131,event-108,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:23.822276,5157.0460
1132,event-109,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:23.823747,5158.5170
1133,event-110,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:23.825409,5160.1790
1134,event-111,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:23.826934,5161.7040
